tile_id,zone,row,col,tile_area_m2,street_len_m,bldg_area_m2,bldg_count,street_km_per_km2,bldg_coverage
center_00_00,center,0,0,19744.257388813054,0.0,0.0,0,0.0,0.0
center_00_01,center,1,0,39582.704014581395,0.0,3743.260092176049,1,0.0,0.09456807424770967
center_00_02,center,2,0,39582.704014581395,0.0,507.3375359122284,0,0.0,0.012817152050181727
center_00_03,center,3,0,39582.704014581395,0.0,764.8548995933909,0,0.0,0.019322957302554046
center_00_04,center,4,0,39582.704014581395,0.0,370.88844558053074,0,0.0,0.009369962331120776
center_00_05,center,5,0,39582.704014581395,0.0,0.0,0,0.0,0.0
center_00_06,center,6,0,39582.704014581395,0.0,0.0,0,0.0,0.0
center_00_07,center,7,0,39582.704014581395,0.0,0.0,0,0.0,0.0
center_00_08,center,8,0,39582.704014581395,0.0,0.0,0,0.0,0.0
center_00_09,center,9,0,39582.704014581395,0.0,0.0,0,0.0,0.0
center_00_10,center,10,0,39582.704014581395,0.0,0.0,0,0.0,0.0
center_00_11,center,11,0,39582.704014581395,0.0,0.0,0,0.0,0.0
center_00_12,center,12,0,39582.704014581395,0.0,0.0,0,0.0,0.0
center_00_13,center,13,0,39582.704014581395,0.0,0.0,0,0.0,0.0
center_00_14,center,14,0,39582.704014581395,0.0,0.0,0,0.0,0.0
center_00_15,center,15,0,39582.704014581395,0.0,0.0,0,0.0,0.0
center_00_16,center,16,0,39582.704014581395,0.0,0.0,0,0.0,0.0
center_00_17,center,17,0,18037.619239409396,0.0,0.0,0,0.0,0.0
center_01_00,center,0,1,124702.55557540804,1710.84869257498,11872.64113486671,10,13.71943569785484,0.09520768103013963
center_01_01,center,1,1,250000.0,5026.3295891907455,24922.08921117514,24,20.105318356762982,0.09968835684470055
center_01_02,center,2,1,250000.0,3789.9522679985575,48847.41861222637,51,15.15980907199423,0.19538967444890548
center_01_03,center,3,1,250000.0,3779.677352344508,41436.58638465466,41,15.118709409378033,0.16574634553861867
center_01_04,center,4,1,250000.0,4668.279290421531,38614.73355020895,42,18.673117161686125,0.15445893420083578
center_01_05,center,5,1,250000.0,5511.876912432058,4947.805717338863,7,22.04750764972823,0.019791222869355453
center_01_06,center,6,1,250000.0,5372.821799643631,14545.681018812227,173,21.491287198574522,0.05818272407524891
center_01_07,center,7,1,250000.0,5362.187045510624,23721.47803693079,43,21.448748182042493,0.09488591214772316
center_01_08,center,8,1,250000.0,7727.817435085241,31681.893347993544,4,30.911269740340966,0.12672757339197419
center_01_09,center,9,1,250000.0,2577.178319762106,36994.48958695936,36,10.308713279048424,0.14797795834783745
center_01_10,center,10,1,250000.0,2963.3062085691467,54596.381130682785,73,11.853224834276586,0.21838552452273113
center_01_11,center,11,1,250000.0,1555.4394895746902,26777.792714663366,97,6.2217579582987605,0.10711117085865346
center_01_12,center,12,1,250000.0,3549.3127569116405,17255.19651164517,59,14.197251027646562,0.06902078604658067
center_01_13,center,13,1,250000.0,2180.3760726576224,6759.846820001388,24,8.72150429063049,0.02703938728000555
center_01_14,center,14,1,250000.0,3379.797568157202,19541.888441445084,46,13.519190272628808,0.07816755376578034
center_01_15,center,15,1,250000.0,4267.932289257733,11481.267697964013,22,17.07172915703093,0.04592507079185605
