p,Db,Db_r2,lam4,lam8,lam16,lam32,lam64,zone,rep,row,col
0.23539,1.57531,0.99717,2.87017,2.1099,1.52508,1.20655,1.07063,center,footprints,3,1
0.2911,1.68675,0.99401,2.04718,1.53893,1.25982,1.08054,1.02067,center,footprints,3,2
0.08738,1.39461,0.99895,7.26384,5.20592,3.72138,2.54196,1.57204,center,footprints,4,0
0.12126,1.44506,0.99996,5.59159,4.15218,2.99848,2.36703,2.13948,center,footprints,4,1
0.22038,1.59252,0.99561,2.98451,2.22779,1.70071,1.38528,1.17013,center,footprints,4,2
0.12949,1.5048,0.99944,5.48917,4.18047,3.0481,2.16186,1.81283,center,footprints,5,0
0.3645,1.71121,0.99851,2.01707,1.63226,1.31893,1.1179,1.05485,center,footprints,5,1
0.33645,1.68195,0.99881,2.13716,1.72921,1.43989,1.25343,1.13115,center,footprints,5,2
0.14685,1.55437,0.99964,5.0528,3.78434,2.7081,2.16281,1.83481,center,footprints,6,0
0.3308,1.63897,0.99982,2.49357,2.1291,1.78795,1.50064,1.2677,center,footprints,6,1
0.25242,1.5836,0.99894,2.82742,2.21126,1.74684,1.3578,1.09335,center,footprints,6,2
0.26178,1.64264,0.99989,3.09888,2.5623,2.03615,1.62063,1.30472,center,footprints,7,0
0.18656,1.51498,0.99994,4.15905,3.476,2.75748,1.91685,1.28568,center,footprints,7,1
0.23267,1.56298,0.99945,3.0427,2.49292,2.00995,1.641,1.32717,center,footprints,7,2
0.16654,1.5372,0.99985,4.80513,4.07792,3.2887,2.48535,1.76163,center,footprints,8,0
0.17574,1.63767,0.99992,4.99936,4.57482,4.15505,3.60556,3.05368,center,footprints,8,1
0.23672,1.6144,0.99978,3.71556,3.40185,3.08522,2.75251,2.37611,center,footprints,8,2
0.24576,1.59247,0.99983,3.07959,2.53357,2.07089,1.69838,1.31161,center,footprints,9,0
0.25538,1.61445,0.99932,3.5078,3.15681,2.66406,2.1491,1.68412,center,footprints,9,1
0.29611,1.65874,0.99974,2.88012,2.50349,2.12846,1.78758,1.42142,center,footprints,9,2
0.29757,1.70769,0.99585,1.99071,1.48293,1.21394,1.08437,1.03553,center,footprints,10,0
0.30854,1.69599,0.99826,2.30313,1.84895,1.49722,1.26714,1.12767,center,footprints,10,1
0.2797,1.60735,0.99821,2.66926,2.17209,1.75256,1.41851,1.19475,center,footprints,10,2
0.30851,1.72226,0.99425,1.82212,1.36088,1.146,1.0623,1.02482,center,footprints,11,0
0.33088,1.69637,0.99597,1.98708,1.51356,1.23602,1.10655,1.04755,center,footprints,11,1
0.32893,1.6686,0.99856,2.35249,1.97022,1.62168,1.35147,1.15898,center,footprints,11,2
0.24768,1.60864,0.99551,2.58836,1.92569,1.46596,1.20517,1.08111,center,footprints,12,0
0.24819,1.63194,0.99693,2.39175,1.76265,1.40598,1.21518,1.09343,center,footprints,12,1
0.30066,1.65134,0.99783,2.46978,2.01937,1.60424,1.28274,1.08511,center,footprints,12,2
0.29474,1.59993,0.99627,2.55351,1.94717,1.39283,1.12021,1.01916,center,footprints,13,0
0.33016,1.63267,0.99908,2.45826,2.03719,1.54634,1.18897,1.05015,center,footprints,13,1
0.08475,1.42509,0.99697,8.30414,6.38224,4.7186,3.40477,2.10851,center,footprints,13,2
0.26621,1.54256,0.99826,2.97917,2.34029,1.63058,1.23684,1.04814,center,footprints,14,0
0.28058,1.58806,0.99825,2.82736,2.24848,1.67345,1.2858,1.07055,center,footprints,14,1
0.14186,1.54889,0.99772,5.11046,3.74898,2.66815,2.06696,1.61914,center,footprints,14,2
0.21477,1.51501,0.99773,3.58779,2.71455,1.82117,1.34651,1.09109,center,footprints,15,0
0.23235,1.56943,0.99963,3.38922,2.71145,2.06459,1.5879,1.25842,center,footprints,15,1
0.18078,1.5376,0.99723,4.02416,2.90779,2.17874,1.79058,1.5459,center,footprints,15,2
0.0861,1.36286,0.99811,8.66653,7.02186,5.08468,3.01995,1.71364,east,streets,0,0
0.0671,1.26873,0.99957,9.08532,5.41025,3.0606,1.72126,1.25561,east,streets,0,1
0.10882,1.33822,0.99953,6.027,4.10921,2.3387,1.38822,1.11198,east,streets,0,2
0.1143,1.42701,0.99698,7.38798,6.43679,5.00276,3.1406,1.92129,east,streets,1,0
0.1175,1.39334,0.99719,6.81328,5.64398,3.90348,2.22753,1.44172,east,streets,1,1
0.14253,1.41095,0.99929,4.86953,3.83204,2.39359,1.40555,1.09664,east,streets,1,2
0.1523,1.48964,0.99709,5.46617,4.69718,3.70538,2.43515,1.58061,east,streets,2,0
0.11182,1.3529,0.99697,6.62642,5.44031,4.15849,2.75274,1.76153,east,streets,2,1
0.1757,1.43128,0.9988,4.43547,3.86641,3.2017,2.32568,1.60383,east,streets,2,2
0.13621,1.43487,0.99868,5.66217,4.26511,2.79588,1.71416,1.17599,east,streets,3,0
0.0709,1.23555,0.99839,8.01515,4.79175,2.69748,1.60909,1.23013,east,streets,3,1
0.09472,1.3175,0.99825,6.63187,4.79217,3.10383,1.97436,1.36223,east,streets,3,2
0.18242,1.50127,0.99953,4.39734,3.64032,2.85425,2.00213,1.4842,east,streets,4,0
0.1752,1.47599,0.99937,4.48122,3.80149,3.13141,2.24981,1.41539,east,streets,4,1
0.19573,1.47436,0.99841,4.20656,3.60376,2.93881,2.22641,1.61919,east,streets,4,2
